title,section_citation,section_heading,chapter,title_name,regulated_population,mandate_type,section_primary_mandate_type,queries_matched,granule_id,package_id,source_url,uscode_house_url,local_file,retrieved,verified,names_fasb_or_asc
31,31 U.S.C. § 7502,§7502. Audit requirements; exemptions,SUBTITLE V-GENERAL ASSISTANCE ADMINISTRATION,TITLE 31-MONEY AND FINANCE,SUBTITLE V-GENERAL ASSISTANCE ADMINISTRATION,binding,binding,primary-generally-accepted-accounting-principles,USCODE-2024-title31-subtitleV-chap75-sec7502,USCODE-2024-title31,https://api.govinfo.gov/packages/USCODE-2024-title31/granules/USCODE-2024-title31-subtitleV-chap75-sec7502/htm,https://uscode.house.gov/view.xhtml?req=granuleid:USCODE-2024-title31-subtitleV-chap75-sec7502,downloads/raw/govinfo-fulltext/USCODE-2024-title31-subtitleV-chap75-sec7502.htm,2026-09-11,,false
31,31 U.S.C. § 5134,§5134. Numismatic Public Enterprise Fund,SUBTITLE IV-MONEY,TITLE 31-MONEY AND FINANCE,SUBTITLE IV-MONEY,binding,binding,primary-generally-accepted-accounting-principles,USCODE-2024-title31-subtitleIV-chap51-subchapIII-sec5134,USCODE-2024-title31,https://api.govinfo.gov/packages/USCODE-2024-title31/granules/USCODE-2024-title31-subtitleIV-chap51-subchapIII-sec5134/htm,https://uscode.house.gov/view.xhtml?req=granuleid:USCODE-2024-title31-subtitleIV-chap51-subchapIII-sec5134,downloads/raw/govinfo-fulltext/USCODE-2024-title31-subtitleIV-chap51-subchapIII-sec5134.htm,2026-09-11,,false
29,29 U.S.C. § 3245,§3245. Reports; recordkeeping; investigations,CHAPTER 32-WORKFORCE INNOVATION AND OPPORTUNITY,TITLE 29-LABOR,CHAPTER 32-WORKFORCE INNOVATION AND OPPORTUNITY,binding,binding,primary-generally-accepted-accounting-principles,USCODE-2024-title29-chap32-subchapI-partE-sec3245,USCODE-2024-title29,https://api.govinfo.gov/packages/USCODE-2024-title29/granules/USCODE-2024-title29-chap32-subchapI-partE-sec3245/htm,https://uscode.house.gov/view.xhtml?req=granuleid:USCODE-2024-title29-chap32-subchapI-partE-sec3245,downloads/raw/govinfo-fulltext/USCODE-2024-title29-chap32-subchapI-partE-sec3245.htm,2026-09-11,,false
29,29 U.S.C. § 3244,§3244. Fiscal controls; sanctions,CHAPTER 32-WORKFORCE INNOVATION AND OPPORTUNITY,TITLE 29-LABOR,CHAPTER 32-WORKFORCE INNOVATION AND OPPORTUNITY,binding,binding,primary-generally-accepted-accounting-principles,USCODE-2024-title29-chap32-subchapI-partE-sec3244,USCODE-2024-title29,https://api.govinfo.gov/packages/USCODE-2024-title29/granules/USCODE-2024-title29-chap32-subchapI-partE-sec3244/htm,https://uscode.house.gov/view.xhtml?req=granuleid:USCODE-2024-title29-chap32-subchapI-partE-sec3244,downloads/raw/govinfo-fulltext/USCODE-2024-title29-chap32-subchapI-partE-sec3244.htm,2026-09-11,,false
29,29 U.S.C. § 1362,§1362. Liability for termination of single-employer plans under a distress termination or a termination by corporation,CHAPTER 18-EMPLOYEE RETIREMENT INCOME SECURITY PROGRAM,TITLE 29-LABOR,CHAPTER 18-EMPLOYEE RETIREMENT INCOME SECURITY PROGRAM,binding,binding,primary-generally-accepted-accounting-principles,USCODE-2024-title29-chap18-subchapIII-subtitleD-sec1362,USCODE-2024-title29,https://api.govinfo.gov/packages/USCODE-2024-title29/granules/USCODE-2024-title29-chap18-subchapIII-subtitleD-sec1362/htm,https://uscode.house.gov/view.xhtml?req=granuleid:USCODE-2024-title29-chap18-subchapIII-subtitleD-sec1362,downloads/raw/govinfo-fulltext/USCODE-2024-title29-chap18-subchapIII-subtitleD-sec1362.htm,2026-09-11,,false
29,29 U.S.C. § 1023,§1023. Annual reports,CHAPTER 18-EMPLOYEE RETIREMENT INCOME SECURITY PROGRAM,TITLE 29-LABOR,CHAPTER 18-EMPLOYEE RETIREMENT INCOME SECURITY PROGRAM,binding,binding,primary-generally-accepted-accounting-principles,USCODE-2024-title29-chap18-subchapI-subtitleB-part1-sec1023,USCODE-2024-title29,https://api.govinfo.gov/packages/USCODE-2024-title29/granules/USCODE-2024-title29-chap18-subchapI-subtitleB-part1-sec1023/htm,https://uscode.house.gov/view.xhtml?req=granuleid:USCODE-2024-title29-chap18-subchapI-subtitleB-part1-sec1023,downloads/raw/govinfo-fulltext/USCODE-2024-title29-chap18-subchapI-subtitleB-part1-sec1023.htm,2026-09-11,,false
28,28 U.S.C. § 529,§529. Annual report of Attorney General,PART II-DEPARTMENT OF JUSTICE,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,PART II-DEPARTMENT OF JUSTICE,binding,binding,primary-generally-accepted-accounting-principles,USCODE-2024-title28-partII-chap31-sec529,USCODE-2024-title28,https://api.govinfo.gov/packages/USCODE-2024-title28/granules/USCODE-2024-title28-partII-chap31-sec529/htm,https://uscode.house.gov/view.xhtml?req=granuleid:USCODE-2024-title28-partII-chap31-sec529,downloads/raw/govinfo-fulltext/USCODE-2024-title28-partII-chap31-sec529.htm,2026-09-11,,false
25,25 U.S.C. § 3413,§3413. Administration of funds,"CHAPTER 36-INDIAN EMPLOYMENT, TRAINING AND RELATED SERVICES",TITLE 25-INDIANS,"CHAPTER 36-INDIAN EMPLOYMENT, TRAINING AND RELATED SERVICES",binding,binding,primary-generally-accepted-accounting-principles,USCODE-2024-title25-chap36-sec3413,USCODE-2024-title25,https://api.govinfo.gov/packages/USCODE-2024-title25/granules/USCODE-2024-title25-chap36-sec3413/htm,https://uscode.house.gov/view.xhtml?req=granuleid:USCODE-2024-title25-chap36-sec3413,downloads/raw/govinfo-fulltext/USCODE-2024-title25-chap36-sec3413.htm,2026-09-11,,false
25,25 U.S.C. § 3304,§3304. Qualification for grants to tribes,CHAPTER 35-INDIAN HIGHER EDUCATION PROGRAMS,TITLE 25-INDIANS,CHAPTER 35-INDIAN HIGHER EDUCATION PROGRAMS,permissive,permissive,primary-generally-accepted-accounting-principles,USCODE-2024-title25-chap35-subchapI-sec3304,USCODE-2024-title25,https://api.govinfo.gov/packages/USCODE-2024-title25/granules/USCODE-2024-title25-chap35-subchapI-sec3304/htm,https://uscode.house.gov/view.xhtml?req=granuleid:USCODE-2024-title25-chap35-subchapI-sec3304,downloads/raw/govinfo-fulltext/USCODE-2024-title25-chap35-subchapI-sec3304.htm,2026-09-11,,false
24,24 U.S.C. § 225b,§225b. Development of plan for mental health system for the District,CHAPTER 4-SAINT ELIZABETHS HOSPITAL,TITLE 24-HOSPITALS AND ASYLUMS,CHAPTER 4-SAINT ELIZABETHS HOSPITAL,binding,binding,primary-generally-accepted-accounting-principles,USCODE-2024-title24-chap4-subchapIII-sec225b,USCODE-2024-title24,https://api.govinfo.gov/packages/USCODE-2024-title24/granules/USCODE-2024-title24-chap4-subchapIII-sec225b/htm,https://uscode.house.gov/view.xhtml?req=granuleid:USCODE-2024-title24-chap4-subchapIII-sec225b,downloads/raw/govinfo-fulltext/USCODE-2024-title24-chap4-subchapIII-sec225b.htm,2026-09-11,,false
